Date,Open,High,Low,Close,Adj Close,Volume
2023-01-04,352.100006,354.559998,349.200012,352.510010,348.361145,3119100
2023-01-05,350.730011,350.799988,348.059998,348.660004,344.556427,3216500
2023-01-06,351.589996,357.670013,348.739990,356.589996,352.393097,3464800
2023-01-09,358.730011,361.730011,356.220001,356.329987,352.136139,3775300
2023-01-10,355.839996,358.950012,354.959991,358.869995,354.646271,3495700
2023-01-11,360.410004,363.510010,359.660004,363.450012,359.172363,5710500
2023-01-12,364.480011,366.149994,360.600006,364.809998,360.516357,4743500
2023-01-13,361.679993,366.730011,361.470001,366.230011,361.919647,3015200
2023-01-17,366.190002,367.720001,364.869995,365.670013,361.366241,4942000
2023-01-18,366.670013,367.660004,359.579987,359.730011,355.496155,3931800
2023-01-19,357.760010,359.359985,355.850006,357.140015,352.936615,3569900
2023-01-20,358.450012,363.910004,356.880005,363.709991,359.429260,3265100
2023-01-23,364.510010,370.000000,363.649994,368.140015,363.807190,3243300
2023-01-24,366.570007,368.609985,365.420013,367.750000,363.421753,2702400
2023-01-25,363.779999,368.160004,361.660004,367.880005,363.550201,3061700
2023-01-26,370.459991,372.059998,367.609985,371.809998,367.433960,3460900
2023-01-27,370.890015,375.079987,370.760010,372.869995,368.481476,5549500
2023-01-30,370.149994,372.290009,367.859985,368.209991,363.876312,3280600
2023-01-31,368.609985,373.540009,368.329987,373.440002,369.044769,4181700
2023-02-01,372.440002,380.160004,369.760010,377.529999,373.086639,4941700
2023-02-02,381.250000,384.410004,379.399994,382.940002,378.432953,5207900
2023-02-03,378.230011,383.200012,377.790009,378.850006,374.391113,6472500
2023-02-06,376.579987,377.929993,375.019989,376.660004,372.226898,2880100
2023-02-07,375.790009,382.750000,374.619995,381.519989,377.029663,4504600
2023-02-08,379.690002,380.929993,376.730011,377.339996,372.898865,2921500
2023-02-09,380.970001,381.000000,372.950012,374.109985,369.706879,3327700
2023-02-10,373.000000,375.390015,372.200012,375.019989,370.606140,3256700
